,C factor
0,0.02276052303825673
1,0.014815682077840078
2,0.03383973520181027
3,0.01642716890142403
4,0.019966370907523512
5,0.014023844849275885
6,0.014972395359257843
7,0.008706544734038342
8,0.009106366719871266
9,0.01614692599067599
10,0.01210978835978836
11,0.009605589446014978
12,0.008386556789484172
13,0.014476142002072605
14,0.017574589380775482
15,0.010147940779598399
16,0.0075581300132533365
17,0.02045671300278867
18,0.036656812443855165
19,0.03805325541384395
20,0.03320315204335557
21,0.062002450885346935
22,0.12229021656064111
23,0.13781813804452533
24,0.031177080460119903
25,0.04159522122419844
26,0.08732073557774733
27,0.10060655589602133
28,0.020355222547590045
29,0.03238054842997904
30,0.020238493881806274
31,0.013279100485289212
32,0.026229625535399544
33,0.014747739495477911
34,0.014672185507425852
35,0.015448341539994762
36,0.025425641260555347
37,0.01686982195866942
38,0.01357897434013145
39,0.019742338679029095
40,0.019385577910706726
41,0.017109905076841944
42,0.007774932562196714
43,0.01276536859641435
44,0.012593521385992495
45,0.018571096055155965
46,0.029190435620861346
47,0.02601246670342258
48,0.023268591796641383
49,0.027098490173501303
50,0.011019265916049114
51,0.015411943235598784
52,0.01957534275849651
53,0.021206498427547
54,0.01827311033741934
55,0.01839377413091286
56,0.018631013025219637
57,0.014694961092159618
58,0.014834646585826804
59,0.011786100709232923
60,0.012755231941261354
61,0.014577763908923895
62,0.010733094460278283
63,0.010965264450027119
64,0.01419374618202417
65,0.015147294252625794
66,0.012304935238539823
67,0.011393852505017548
68,0.019323399785660823
69,0.017441137019344327
70,0.011652512018891765
71,0.010353594258512126
72,0.022661684286205217
73,0.00943152863697789
74,0.010116900036066911
75,0.016281047270579288
76,0.00938376560601281
77,0.014295238815429379
78,0.016832803637171285
79,0.010741676187933605
80,0.014513233849934266
81,0.028758774346199185
82,0.019081658475784108
83,0.02341371433922271
84,0.012553537461058499
85,0.01718717138190828
86,0.015502468677947384
87,0.019974912396770295
88,0.0166055364758395
89,0.013117762610820734
90,0.013102342065650554
91,0.016769220846233234
92,0.00903554750034751
93,0.009200980392156864
94,0.013876847626492137
95,0.014900124128673394
96,0.01355286835517293
97,0.02282370517607044
98,0.022281606976365477
99,0.020147972554184025
100,0.01348866924249353
101,0.011737892647860551
102,0.020477731383711305
103,0.01943838171274719
104,0.012654727770799477
105,0.014158924075873724
106,0.020196010111760875
107,0.018145587897271165
108,0.014322836832825517
109,0.02843534980962683
110,0.01315256967327863
111,0.008027350427350428
112,0.010211800352147006
113,0.025655807690459602
114,0.010800247544357336
115,0.0149252052951419
116,0.023755468698291714
117,0.015151131957761903
118,0.00985872461559003
119,0.011430670614769366
120,0.021159786347102465
121,0.01659478877042557
122,0.03139245225723648
123,0.010827997450581025
124,0.011295703234448557
125,0.029918261176002454
126,0.0189130154619718
127,0.019949234810208733
128,0.013122883299698901
129,0.014105652489582727
130,0.013270421596283668
131,0.023354494524506567
132,0.028134982481735894
133,0.00847495575837309
134,0.016146910600749402
135,0.01988150966804
136,0.013449850752187995
137,0.016844431006840535
138,0.03376980524732675
139,0.030047159744173792
140,0.019178418411417562
141,0.03343121772019729
142,0.0116565581973552
143,0.009839529586538174
144,0.014213553113553112
145,0.009223758885381756
146,0.01993448924956026
147,0.03062751830796235
148,0.04681103810157702
149,0.01543050696381829
150,0.025090874547474877
151,0.022215154678092573
152,0.01850411741010747
153,0.014954545454545458
154,0.013045407636738907
155,0.008149891409610071
156,0.023287427849927846
157,0.006256410256410257
158,0.0053124999999999995
159,0.007092476489028213
160,0.0251876044951493
161,0.019839928512558357
162,0.11023897981369013
163,0.037568931203317085
164,0.026366714573405597
165,0.06241916298903426
166,0.03117653573821219
167,0.11267368024132729
168,0.01585813744601154
169,0.012333536064371618
170,0.016065889307438557
171,0.011744827091036372
172,0.02413629304852194
173,0.021603663774694092
174,0.010870336617230086
175,0.009789269577585226
176,0.013242841830203833
177,0.009013293420270165
178,0.013594887869472085
179,0.010352441675971089
180,0.022916249957822626
181,0.01265947504872702
182,0.012569093108301352
183,0.02115852560297563
184,0.031407000764135565
185,0.03214348812048877
186,0.031330910335944276
187,0.021540545591514845
188,0.010975645224632357
189,0.020514658147042106
190,0.02960252741159525
191,0.012410232796409357
192,0.030843433585886475
193,0.04148355339256621
194,0.021919654747353162
195,0.02114188734578239
196,0.017835579409719284
197,0.01836767592877818
198,0.019274842331453317
199,0.010120670798017276
200,0.012284570042976357
201,0.020403307308984674
202,0.01742495365077322
203,0.01454556429456463
204,0.015884405235468226
205,0.01135316237523387
206,0.013544064093817842
207,0.014384685893860808
208,0.01827267017628349
209,0.03473350542255441
210,0.016220570287148444
211,0.00985672489487435
212,0.014435544845339435
213,0.0210172938816124
214,0.01241596529282933
215,0.011075864591995464
216,0.010718658238046783
217,0.011857755553180714
218,0.024996828966035417
219,0.012928852282175171
220,0.008559304812453181
221,0.01313521944906145
222,0.027781798245614036
223,0.02120763493372094
224,0.023424228787524565
225,0.011186981402727518
226,0.008994796242706543
227,0.00935782586938574
228,0.012107503747477823
229,0.014244806954345953
230,0.010094287821254416
231,0.017199577574136694
232,0.011543433294605773
233,0.014915466289127878
234,0.026798196597671856
235,0.0296097316021683
236,0.008674754477701899
237,0.007133964646464648
238,0.0272605399724164
239,0.013438176273728904
240,0.011013098906848907
241,0.00861000117376496
242,0.04014150441933954
243,0.019647459245265016
244,0.029133885657730084
245,0.008128949400624013
246,0.008731117041402616
247,0.013371314242696133
248,0.04603541140194985
249,0.02507836823113553
250,0.01423997872317328
251,0.013812350060638155
252,0.013745795003607503
253,0.026659000093290322
254,0.01336079773642945
255,0.02971979650811269
256,0.009631197796791412
257,0.012390237925159977
258,0.014532165143917612
259,0.011657171175740506
260,0.016367711202938475
261,0.01218454960205319
262,0.021103200971649687
263,0.01103990827796278
264,0.018422905029817884
265,0.010577336312552704
266,0.013034872153249485
