,C factor
0,0.01644873259124286
1,0.010234971399813424
2,0.03670669525072763
3,0.021873916360333753
4,0.028669723243207608
5,0.025196250354223123
6,0.021102393033370196
7,0.022195910436403687
8,0.011382164812569675
9,0.020824170142208446
10,0.01157064037909553
11,0.016964878555787648
12,0.010262311901205091
13,0.018154744600426074
14,0.014507744366853953
15,0.028271569415412003
16,0.01392450628147916
17,0.02214650955088784
18,0.03323269034749387
19,0.169686909407633
20,0.06246524129205688
21,0.04479822914636711
22,0.0578245233471618
23,0.7955507286830816
24,0.0427164505713099
25,0.07294352375334469
26,0.04441485188107193
27,0.41671852205528664
28,0.03082446531663494
29,0.08511923499850352
30,0.016426174794271796
31,0.05106462305754992
32,0.02881574685530594
33,0.039622598740677244
34,0.02033845630971089
35,0.015606879682977715
36,0.016437042124542126
37,0.010182981452808606
38,0.017392585055500596
39,0.05534185740527081
40,0.01743341308580803
41,0.02015765812798756
42,0.013748628266380875
43,0.011088443992699584
44,0.015045779326058595
45,0.011942180847300365
46,0.014114613136320764
47,0.012582516145387282
48,0.018303395635558373
49,0.01468660296684953
50,0.013314698637938304
51,0.020665751215207886
52,0.011493956232399181
53,0.019245156110388312
54,0.013810624312856458
55,0.01315656675722153
56,0.017442401432444334
57,0.014897318117778011
58,0.012667949696622332
59,0.017693784410630783
60,0.04188986724009606
61,0.013760245563478456
62,0.0259651070213499
63,0.018110082409248378
64,0.014832292064521517
65,0.01688126653431336
66,0.014693186580399888
67,0.015941867357129966
68,0.012386572492931396
69,0.014022381190676472
70,0.016389453123623023
71,0.009159173693537487
72,0.012742552143665611
73,0.011265167889399174
74,0.014472935553582545
75,0.007359846880287132
76,0.008078442812765442
77,0.011558974399224198
78,0.016112650615582393
79,0.011235729578415158
80,0.007586778751551478
81,0.015565557497589071
82,0.013552168464669927
83,0.018910943366419918
84,0.014943834733807934
85,0.017843874463676537
86,0.014522091512894181
87,0.027386297476616406
88,0.019104598106073924
89,0.010296465134172823
90,0.012649608561593573
91,0.010156012176560121
92,0.01637319952950388
93,0.00755609950135229
94,0.017598244101912585
95,0.023162526016146198
96,0.01057581994938077
97,0.010492895600059745
98,0.02001821003152879
99,0.019206529954705998
100,0.011099761576701892
101,0.015476567246155029
102,0.008001573851451827
103,0.018112936574146178
104,0.014253538604749158
105,0.013426307179225922
106,0.01885579112278687
107,0.023052081387892668
108,0.01990547177024951
109,0.020532776105294293
110,0.010315879452926209
111,0.0057216660249005255
112,0.008045526695526696
113,0.014335146255473013
114,0.013837406486975862
115,0.011972692346828444
116,0.016851140511855708
117,0.010784029342178716
118,0.012124298377892336
119,0.011553306411087025
120,0.01020585592364885
121,0.020851639405777715
122,0.020749243980451307
123,0.013092817893670214
124,0.015880270425889447
125,0.0237635911314153
126,0.01480946737086443
127,0.02071988211499148
128,0.016610839817516352
129,0.005736468500443656
130,0.005601190476190477
131,0.01857905982905983
132,0.021689071723361993
133,0.021207022344457413
134,0.011591805471429932
135,0.014440622584991073
136,0.016846036979274916
137,0.01863384478788125
138,0.025417215072321957
139,0.02995992422856008
140,0.029942639514686047
141,0.022404507265764467
142,0.012695748865570176
143,0.017889973532158522
144,0.021945479058796777
145,0.011859750882687183
146,0.01733667647060049
147,0.02947495342707638
148,0.06975308232254826
149,0.01568030563969346
150,0.019582920318453656
151,0.018920395677653003
152,0.02734114807402286
153,0.013711824993388183
154,0.010712047361240911
155,0.011636072261072264
156,0.012698089266162267
157,0.01048087625797589
158,0.018009934276253504
159,0.01602212993986565
160,0.015540211192324972
161,0.012385728423780206
162,0.024032780977860848
163,0.023333573006335564
164,0.014568141609359243
165,0.024644886102280064
166,0.056071899490387996
167,0.00925247963039618
168,0.018183158056472287
169,0.03894102584906626
170,0.010166752158153788
171,0.013781938164611686
172,0.0326156422866737
173,0.05239995953295364
174,0.018551581317884144
175,0.01567784053197273
176,0.010028706775361423
177,0.013163948832896037
178,0.02439094018823767
179,0.00991417207703145
180,0.0247046086783219
181,0.008889760412835897
182,0.013367857305007528
183,0.014519230769230772
184,0.025861358152761905
185,0.025147275337235674
186,0.014098194116607371
187,0.009024153618420148
188,0.013097707644783612
189,0.01818303553125258
190,0.04840596689113334
191,0.01602911051863859
192,0.03368701138845643
193,0.03911869574181023
194,0.037411899906232046
195,0.02159927394705532
196,0.018601369603582094
197,0.028945021770146278
198,0.03139344233510351
199,0.008774087627118038
200,0.008062717986047374
201,0.06414541095257352
202,0.015467703028948888
203,0.009277985096500721
204,0.01192138849020949
205,0.02589617476033103
206,0.023153859666663616
207,0.016477121982136415
208,0.013238668504180665
209,0.011136484157875673
210,0.010094371303753456
211,0.007603841536614648
212,0.016449766573295988
213,0.0075012532199641106
214,0.00964765224416592
215,0.010434282659868954
216,0.010985438080749607
217,0.008353491713842283
218,0.014283356071927837
219,0.009133790186868147
220,0.007972984749455337
221,0.018263795954205436
222,0.007940170940170941
223,0.007553056101885109
224,0.014928995727104757
225,0.006629578754578756
226,0.009588756109256413
227,0.013079706490292336
228,0.013164494734107447
229,0.010105245575519443
230,0.015678266842873764
231,0.024345790541037256
232,0.011070105001710212
233,0.010322523258904839
234,0.018205420294273883
235,0.01958928284199119
236,0.00859569023559347
237,0.007886904761904762
238,0.039887400087642806
239,0.026724448921266068
240,0.009389657682931412
241,0.006682946682946682
242,0.1867452254307734
243,0.03202949690535336
244,0.03844733498390241
245,0.018470355808788665
246,0.05998255643876109
247,0.014923219411282301
248,0.13020090218705166
249,0.008263244707643027
250,0.012540761626287944
